district,current_strategy,steady_rat,recommendation
MN11,PM,15941.21191022567,保持当前 AM+BINS 并持续监测
MN01,PM,16927.530405532252,提升 BINS 覆盖并优先安排 AM 收集
MN10,PM,16609.935775080907,提升 BINS 覆盖并优先安排 AM 收集
MN02,PM,16742.69406271139,提升 BINS 覆盖并优先安排 AM 收集
MN03,AM,17566.83857780522,提升 BINS 覆盖并优先安排 AM 收集
MN08,PM,16483.70771821213,保持当前 AM+BINS 并持续监测
MN07,PM,16584.09361989526,提升 BINS 覆盖并优先安排 AM 收集
MN06,AM,16073.88319589722,保持当前 AM+BINS 并持续监测
MN04,AM,16577.19650869656,保持当前 AM+BINS 并持续监测
MN09,PM,16886.99829337434,提升 BINS 覆盖并优先安排 AM 收集
MN12,PM,16468.67460828432,保持当前 AM+BINS 并持续监测
MN05,AM,16210.60734332922,保持当前 AM+BINS 并持续监测
